Code,Name
NSE/ICICIBANK,ICICI Bank Limited
NSE/HITECHGEAR,The Hi-Tech Gears Limited
NSE/KAKATCEM,Kakatiya Cement Sugar & Industries Limited
NSE/HIRECT,Hind Rectifiers Limited
NSE/HMVL,Hindustan Media Ventures Limited
NSE/HITECHPLAS,Hitech Plast Limited
NSE/HOCL,Hindustan Organic Chemicals Limited
NSE/HNGSNGBEES,Goldman Sachs Hang Seng Exchange Traded Scheme
NSE/HOTELRUGBY,Hotel Rugby Limited
NSE/IBVENTURES,Indiabulls Ventures Limited
NSE/INDUSINDBK,IndusInd Bank Limited
NSE/IFBIND,IFB Industries Limited
NSE/MAHINDCIE,Mahindra CIE Automotive Limited
NSE/IBULHSGFIN,Indiabulls Housing Finance Limited
NSE/HOTELEELA,Hotel Leela Venture Limited
NSE/IBWSL,Indiabulls Wholesale Services Limited
NSE/ICIL,Indo Count Industries Limited
NSE/INDIANCARD,Indian Card Clothing Company Limited
NSE/IDBIGOLD,IDBI Mutual Fund - IDBI Gold Exchange Traded Fund
NSE/JBFIND,JBF Industries Limited
NSE/IFGLREFRAC,IFGL Refractories Limited
NSE/IMPEXFERRO,Impex Ferro Tech Limited
NSE/IDEA,Idea Cellular Limited
NSE/ILFSTRANS,IL&FS Transportation Networks Limited
NSE/IGARASHI,Igarashi Motors India Limited
NSE/IGPL,IG Petrochemicals Limited
NSE/IMFA,Indian Metals & Ferro Alloys Limited
NSE/IITL,Industrial Investment Trust Limited
NSE/INDIANHUME,Indian Hume Pipe Company Limited
NSE/INDIAGLYCO,India Glycols Limited
NSE/INDIACEM,The India Cements Limited
NSE/INDLMETER,IMP Powers Limited
NSE/INDRAMEDCO,Indraprastha Medical Corporation Limited
NSE/INDOTHAI,Indo Thai Securities Limited
NSE/INDNIPPON,India Nippon Electricals Limited
NSE/INDOSOLAR,Indosolar Limited
NSE/INFOMEDIA,INFOMEDIA PRESS LIMITED
NSE/INDSWFTLTD,Ind-Swift Limited
NSE/INEOSSTYRO,INEOS Styrolution India Limited
NSE/INDTERRAIN,Indian Terrain Fashions Limited
NSE/INFINITE,Infinite Computer Solutions (India) Limited
NSE/IOB,Indian Overseas Bank
NSE/IVP,IVP Limited
NSE/IPCALAB,IPCA Laboratories Limited
NSE/INSECTICID,Insecticides (India) Limited
NSE/JAYNECOIND,Jayaswal Neco Industries Limited
NSE/IRB,IRB Infrastructure Developers Limited
NSE/ISFT,Intrasoft Technologies Limited
NSE/IPAPPM,International Paper APPM Limited
NSE/JAMNAAUTO,Jamna Auto Industries Limited
NSE/ITI,ITI Limited
NSE/ITDCEM,ITD Cementation India Limited
NSE/JINDALSAW,Jindal Saw Limited
NSE/IVRCLINFRA,IVRCL Limited
NSE/JAYBARMARU,Jay Bharat Maruti Limited
NSE/JAIBALAJI,Jai Balaji Industries Limited
NSE/JISLDVREQS,Jain Irrigation Systems Limited
NSE/JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
NSE/JAYAGROGN,Jayant Agro Organics Limited
NSE/JBMA,JBM Auto Limited
NSE/JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
NSE/JENSONICOL,Jenson & Nicholson (India) Limited
NSE/JINDALPHOT,Jindal Photo Limited
NSE/ACCELYA,Accelya Kale Solutions Limited
NSE/AGCNET,AGC Networks Limited
NSE/ASIANPAINT,Asian Paints Limited
NSE/BODALCHEM,Bodal Chemicals Limited
NSE/AARVEEDEN,Aarvee Denims & Exports Limited
NSE/ABB,ABB India Limited
NSE/ACC,ACC Limited
NSE/ARCHIES,Archies Limited
NSE/AARTIDRUGS,Aarti Drugs Limited
NSE/ABIRLANUVO,Aditya Birla Nuvo Limited
NSE/ABBOTINDIA,Abbott India Limited
NSE/3MINDIA,3M India Limited
NSE/ADORWELD,Ador Welding Limited
NSE/ABAN,Aban Offshore Limited
NSE/A2ZINFRA,A2Z INFRA ENGINEERING LIMITED
NSE/ANDHRACEMT,Andhra Cements Limited
NSE/AARTIIND,Aarti Industries Limited
NSE/ADANIPORTS,Adani Ports and Special Economic Zone Limited
NSE/20MICRONS,20 Microns Limited
NSE/ASAHISONG,Asahi Songwon Colors Limited
NSE/AEGISCHEM,Aegis Logistics Limited
NSE/ADVANIHOTR,Advani Hotels & Resorts (India) Limited
NSE/CANBK,Canara Bank
NSE/AJANTPHARM,Ajanta Pharma Limited
NSE/ALCHEM,Alchemist Limited
NSE/AIAENG,AIA Engineering Limited
NSE/AHLEAST,Asian Hotels (East) Limited
NSE/AHLUCONT,Ahluwalia Contracts (India) Limited
NSE/ALKALI,Alkali Metals Limited
NSE/AMDIND,AMD Industries Limited
NSE/ALBK,Allahabad Bank
NSE/ALEMBICLTD,Alembic Limited
NSE/ALLCARGO,Allcargo Logistics Limited
NSE/ALOKTEXT,Alok Industries Limited
NSE/AJMERA,Ajmera Realty & Infra India Limited
NSE/AMRUTANJAN,Amrutanjan Health Care Limited
NSE/ANDHRSUGAR,The Andhra Sugars Limited
NSE/AMTEKAUTO,Amtek Auto Limited
NSE/AMTL,Advance Metering Technology Limited
NSE/AMARAJABAT,Amara Raja Batteries Limited
NSE/ANANTRAJ,Anant Raj Limited
NSE/ANSALAPI,Ansal Properties & Infrastructure Limited
NSE/APOLLOTYRE,Apollo Tyres Limited
NSE/APTECHT,Aptech Limited
NSE/ARVIND,Arvind Limited
NSE/ARSHIYA,Arshiya Limited
